,ell,Cl
2105,2105,2.556841097620894e-09
2106,2106,2.5704643873860676e-09
2107,2107,2.4701631742472696e-09
2108,2108,2.6990823154857178e-09
2109,2109,2.7235412476362246e-09
2110,2110,2.586192174308579e-09
2111,2111,2.519274935426609e-09
2112,2112,2.6836607854804127e-09
2113,2113,2.417039804325561e-09
2114,2114,2.7653110674337415e-09
2115,2115,2.465266663467837e-09
2116,2116,2.7851528513930322e-09
2117,2117,2.5615782493660608e-09
2118,2118,2.516823143928903e-09
2119,2119,2.5001397845433043e-09
2120,2120,2.6849547124141428e-09
2121,2121,2.4298021192796555e-09
2122,2122,2.5886440232906427e-09
2123,2123,2.778810462933285e-09
2124,2124,2.545292337055912e-09
2125,2125,2.441518206105582e-09
2126,2126,2.6837298101953623e-09
2127,2127,2.5773868806530464e-09
2128,2128,2.3352372332923585e-09
2129,2129,2.461379128297888e-09
2130,2130,2.464421191710921e-09
2131,2131,2.4983726772630143e-09
2132,2132,2.4368008050280777e-09
2133,2133,2.4343615939657654e-09
2134,2134,2.4519467466395682e-09
2135,2135,2.5366683442975264e-09
2136,2136,2.4536803598165087e-09
2137,2137,2.528620243708758e-09
2138,2138,2.433138099555337e-09
2139,2139,2.503651841153306e-09
2140,2140,2.594874862092582e-09
2141,2141,2.6827351071209273e-09
2142,2142,2.566218567422779e-09
2143,2143,2.341374169735074e-09
2144,2144,2.8983073393953676e-09
2145,2145,2.312848546081438e-09
2146,2146,2.471205752204012e-09
2147,2147,2.3716802662592543e-09
2148,2148,2.399205088765185e-09
2149,2149,2.3132847793982773e-09
2150,2150,2.2740713397652763e-09
2151,2151,2.19582448976512e-09
2152,2152,2.466489847076153e-09
2153,2153,2.3452760018581793e-09
2154,2154,2.395158463906067e-09
2155,2155,2.591444019089656e-09
2156,2156,2.397387546302592e-09
2157,2157,2.5479128625143917e-09
2158,2158,2.4321500995697066e-09
2159,2159,2.426707771743288e-09
2160,2160,2.4685434256257995e-09
2161,2161,2.2194105449114e-09
2162,2162,2.525062302090642e-09
2163,2163,2.234438649471996e-09
2164,2164,2.1682817586470943e-09
2165,2165,2.2491938975334957e-09
2166,2166,2.5460560521396666e-09
2167,2167,2.3999487367546135e-09
2168,2168,2.5727212617706955e-09
2169,2169,2.452772335063691e-09
2170,2170,2.5026281241219543e-09
2171,2171,2.247837398997716e-09
2172,2172,2.5326970167072447e-09
2173,2173,2.3634509423607373e-09
2174,2174,2.0826602686749403e-09
2175,2175,2.5087739607346957e-09
2176,2176,2.2036376728205442e-09
2177,2177,2.267075507678678e-09
2178,2178,2.325388345443315e-09
2179,2179,2.4011508279930476e-09
2180,2180,2.3665700030409893e-09
2181,2181,2.396950062323169e-09
2182,2182,2.254788464062338e-09
2183,2183,2.382498282874698e-09
2184,2184,2.276540993642661e-09
2185,2185,2.2196953195803447e-09
2186,2186,2.457242124013706e-09
2187,2187,2.441001252497735e-09
2188,2188,2.3510025840103277e-09
2189,2189,2.2781449992028685e-09
2190,2190,2.13131203270944e-09
2191,2191,2.29916557122383e-09
2192,2192,2.229026267823542e-09
2193,2193,2.3786806601225013e-09
2194,2194,2.3670964539462483e-09
2195,2195,2.4972363795437197e-09
2196,2196,2.3223666544927317e-09
2197,2197,2.3088183638887593e-09
2198,2198,2.210447296186762e-09
2199,2199,2.2077284193339544e-09
2200,2200,2.2655974413711915e-09
2201,2201,2.636955129521092e-09
2202,2202,2.3594747053821972e-09
2203,2203,2.25610810492325e-09
2204,2204,2.444980637741045e-09
2205,2205,2.254529606507257e-09
2206,2206,2.170017556823279e-09
2207,2207,2.459952038452586e-09
2208,2208,2.385618443735779e-09
2209,2209,2.3902646036789414e-09
2210,2210,2.367314052371811e-09
2211,2211,2.2182292716291475e-09
2212,2212,2.450913908516984e-09
2213,2213,2.49604624003473e-09
2214,2214,2.2790488982645887e-09
2215,2215,2.2537867511118115e-09
2216,2216,2.299614556073735e-09
2217,2217,2.314886630671895e-09
2218,2218,2.348258535571647e-09
2219,2219,2.4406892901430565e-09
2220,2220,2.2610203991382116e-09
2221,2221,2.2683509384751666e-09
2222,2222,2.5344519566845787e-09
2223,2223,2.2724808600045082e-09
2224,2224,2.254343194882316e-09
2225,2225,2.212832108149804e-09
2226,2226,2.4405165687216196e-09
2227,2227,2.148875877782346e-09
2228,2228,2.115125208640079e-09
2229,2229,2.198876038774196e-09
2230,2230,2.1911129671500196e-09
2231,2231,2.309854876127895e-09
2232,2232,2.390820904403447e-09
2233,2233,2.0769985371579963e-09
2234,2234,2.284547464908463e-09
2235,2235,2.347401854407639e-09
2236,2236,2.336900398381199e-09
2237,2237,2.4272360058223845e-09
2238,2238,2.3600431092448296e-09
2239,2239,2.484061634996015e-09
2240,2240,2.1547088305555244e-09
2241,2241,2.4910601448201755e-09
2242,2242,2.3953949770420855e-09
2243,2243,2.2395641983001295e-09
2244,2244,2.2878226532323775e-09
2245,2245,2.281147328099766e-09
2246,2246,2.0018419732112753e-09
2247,2247,2.116900363842327e-09
2248,2248,2.438079488817139e-09
2249,2249,2.268507780004877e-09
