ells,kap_cls
465,2.8032293140043047e-08
466,3.013552509458366e-08
467,2.8607750003347484e-08
468,3.037391967548372e-08
469,3.0570944927651186e-08
470,3.476123037504361e-08
471,2.6096710531248558e-08
472,2.983081071287161e-08
473,2.9504297233536942e-08
474,2.9095956348616223e-08
475,2.75714153281028e-08
476,2.544817194844943e-08
477,2.5194430576528686e-08
478,3.172098527009105e-08
479,2.738552360069294e-08
480,2.896008575764828e-08
481,2.693841762352064e-08
482,2.9659094153544893e-08
483,3.1213826949762554e-08
484,2.909696384507982e-08
485,3.0908397450744174e-08
486,2.9163091726603544e-08
487,3.36985311675053e-08
488,2.7910189975851227e-08
489,2.6358186821856564e-08
490,2.8006205545985776e-08
491,2.788408717702501e-08
492,2.5555359135792833e-08
493,2.532801041228631e-08
494,2.9340198410833717e-08
495,2.831710923690546e-08
496,2.484085943417726e-08
497,2.5295413475633665e-08
498,2.5704044955172546e-08
499,2.886798613581255e-08
500,2.6737604896300804e-08
501,2.4730814741690783e-08
502,2.4223611079118744e-08
503,2.1945017616280593e-08
504,2.8994318905365106e-08
505,2.872749339724689e-08
506,2.7701254459316496e-08
507,2.7597477557860808e-08
508,2.7068228811218033e-08
509,2.7203615195574954e-08
510,2.7486290451143616e-08
511,2.893082627710185e-08
512,2.3026958922964552e-08
513,2.1435816902499475e-08
514,2.391534352653378e-08
515,2.559025079602515e-08
516,2.5732419125139635e-08
517,2.5251721273815795e-08
518,2.711427764140473e-08
519,2.4544459779580933e-08
520,2.4132021268278715e-08
521,2.0107444970261403e-08
522,2.5423957808565544e-08
523,2.529743754690109e-08
524,2.465472325935215e-08
525,2.081975968814152e-08
526,2.7555256244872288e-08
527,2.2190377523369846e-08
528,2.4696332085978e-08
529,2.1259176422476703e-08
530,2.5037545192804094e-08
531,1.9371570739482608e-08
532,2.9198023011633632e-08
533,2.4076797071381898e-08
534,2.4338613465567506e-08
535,2.0804335116799742e-08
536,2.5627788367663884e-08
537,2.3923850671435214e-08
538,2.4936445912363065e-08
539,3.067920257397246e-08
540,2.5610178923851553e-08
541,2.5945908338421102e-08
542,2.3998981717963906e-08
543,2.3857773307400226e-08
544,2.596117243574e-08
545,2.1358013877872063e-08
546,2.4461564590600784e-08
547,2.370124532037728e-08
548,2.2796952782890855e-08
549,2.3260839503357254e-08
550,2.2546511305778133e-08
551,2.103492227697337e-08
552,2.14416144298876e-08
553,2.2700454091360594e-08
554,2.246926495186e-08
555,2.0716769437926696e-08
556,1.774208053093359e-08
557,2.212568698979328e-08
558,2.4095974836124077e-08
559,2.6385334732987566e-08
560,2.240835410253025e-08
561,2.2007634912231062e-08
562,2.2139789413644487e-08
563,2.3437279521231617e-08
564,2.3660927370507444e-08
565,2.0562719746362718e-08
566,2.3890843048351928e-08
567,1.9029060330313363e-08
568,1.8451040473843933e-08
569,2.4729116143285135e-08
570,2.0538300544766138e-08
571,2.217629353604399e-08
572,1.8899989874509767e-08
573,2.202657834203086e-08
574,1.9461624876599395e-08
575,2.2140786764100472e-08
576,2.3669496445184398e-08
577,2.2436581583003043e-08
578,2.1015892001536928e-08
579,2.1024590841394126e-08
580,2.1821079540245835e-08
581,2.2147150909364733e-08
582,1.991594335855407e-08
583,1.957365627418032e-08
584,1.9446001012278035e-08
585,2.1762623268579397e-08
586,2.426625701414024e-08
587,1.9722753884665352e-08
588,1.793183214673668e-08
589,1.7765919593850494e-08
590,1.7396820585374003e-08
591,2.0528916182176158e-08
592,1.7708593085523268e-08
593,2.20449290259731e-08
594,2.152579242127024e-08
595,1.969247567326156e-08
596,2.0229970043695005e-08
597,2.464528052191223e-08
598,2.319416886349835e-08
599,1.6827543922305857e-08
600,2.0362065130422062e-08
601,2.031175516074074e-08
602,1.8187903415357024e-08
603,1.89151733121014e-08
604,2.1279553196587813e-08
605,1.8339038595993543e-08
606,2.021565078768462e-08
607,1.9292411247132987e-08
608,1.6495949291076756e-08
609,2.052809563274452e-08
610,1.8890073866869e-08
611,2.0234192615369776e-08
612,2.0004463881292155e-08
613,1.9556825076881357e-08
614,2.138874375776135e-08
615,1.8600521347087637e-08
616,1.696000879038726e-08
617,1.9270650006685593e-08
618,2.3300703225957877e-08
