L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
1580.0,4.799512387022483e-09,4.669072444145623e-09,1.7782465826518734e-09,4.685315127411259e-09,1.7470296873577053e-09,0.006318344092963034,0.026310319011820158
1620.0,4.7369984516045e-09,5.5707542790514725e-09,1.5922962476216825e-09,5.525625798524292e-09,1.589021066706035e-09,-0.008400876539430271,0.028436963499596617
1660.0,4.496451048637245e-09,4.36386234038875e-09,2.0131708829578516e-09,4.332885280085895e-09,2.073414726976064e-09,-0.016367609630265154,0.05761788403876251
1700.0,4.343563001463143e-09,4.480538475477171e-09,2.3309812000035194e-09,4.533217340479816e-09,2.3100819453169097e-09,0.03158705366661171,0.06255419488956028
1740.0,4.212251550432025e-09,4.409645125529986e-09,1.6642983468881387e-09,4.451727401667104e-09,1.6864072946272846e-09,-0.0018601820854896693,0.06129873882123587
1780.0,4.008197991740489e-09,4.105404294172979e-09,2.2281275131548012e-09,4.0964559480524435e-09,2.280530592095415e-09,0.0019014691604605537,0.0950384285251352
1820.0,3.904226721206482e-09,4.120875865023701e-09,2.121242218905617e-09,4.162590662237485e-09,2.1187482848776464e-09,0.05297637769927088,0.19589061892652573
1860.0,3.735826905452725e-09,4.135761103984843e-09,1.6520661868740326e-09,4.155381278230953e-09,1.6462889365352222e-09,0.008726552404652558,0.0545224491853698
1900.0,3.639899619343474e-09,3.418189001039048e-09,1.815458295967831e-09,3.4145214286824405e-09,1.7763975508754665e-09,0.043214906941166635,0.13347093021456075
1940.0,3.513653250999939e-09,3.1813875404031766e-09,1.6123785557972375e-09,3.174755433982781e-09,1.5874620498874237e-09,-0.019907903035263002,0.07479382328064126
1980.0,3.383521956638791e-09,3.1920356145091954e-09,1.76096373741473e-09,3.1908449083670812e-09,1.7604489822687917e-09,0.0007415675613965402,0.09156840402937104
2020.0,3.2668912973047797e-09,2.829366541475539e-09,1.82952080121511e-09,2.811502008358244e-09,1.8561758381632225e-09,-0.030996004579167027,0.11524231730866283
2060.0,3.1861133632940217e-09,2.8895155382576513e-09,1.59957306567592e-09,2.904308882407642e-09,1.6000979911901773e-09,-0.04171744460933058,0.17057247870569836
2100.0,3.073597905276897e-09,2.8402416620996764e-09,1.3805958444411028e-09,2.872253168019957e-09,1.3632952910344315e-09,0.028357400387101567,0.07951226178829825
2140.0,2.9932311465283697e-09,2.9715104290451e-09,1.7914416591836936e-09,2.9469992564372552e-09,1.7924335303118034e-09,-0.008471087654533062,0.03520357965911353
2180.0,2.917663433576494e-09,2.432020060863147e-09,1.4802902262797902e-09,2.4346570768619263e-09,1.452636783059842e-09,-0.08197820363652364,0.5194498607576901
2220.0,2.83803760946429e-09,2.522195280866317e-09,1.585944346505367e-09,2.4959011815839635e-09,1.5533911702161183e-09,-0.007220621578626389,0.0903800021009162
2260.0,2.7360942982037727e-09,2.602954504207691e-09,1.4934922648982603e-09,2.5631400497189363e-09,1.4956444638471093e-09,-0.34513435817543864,1.7141959583393735
2300.0,2.6541251601059364e-09,3.1475831673723457e-09,1.3053258842211173e-09,3.111090522176389e-09,1.2514284751371637e-09,-0.0040925512265835365,0.05595902115269225
2340.0,2.5998774184581982e-09,2.7837476948357933e-09,1.6594062554562477e-09,2.822325614332453e-09,1.6176850571761739e-09,0.015827533602829492,0.050199395291079744
2380.0,2.5343071542752644e-09,2.8319751099595946e-09,1.9294696934212732e-09,2.824200065393445e-09,1.981667847207145e-09,-0.014201381876074748,0.05489503115182103
2420.0,2.4530935728847707e-09,2.603606718058239e-09,1.4901695919732218e-09,2.6068802955029293e-09,1.4733985246455114e-09,-0.004083342545383812,0.06571286864048458
2460.0,2.394091794698627e-09,2.677346101773213e-09,1.6109356273536147e-09,2.6799950872109088e-09,1.5899630837711977e-09,-0.040094787919814225,0.13841026321863262
2500.0,2.353422747553158e-09,2.4122646343877323e-09,1.8550442204907566e-09,2.3919102548052286e-09,1.876633471058209e-09,-0.1313645362399239,0.4152115617035326
2540.0,2.2868955448405596e-09,1.4526881327050297e-09,1.822420323373331e-09,1.4746206953287438e-09,1.8568185076699993e-09,0.07510914399023638,0.18921833421772274
2580.0,2.236736097946141e-09,2.080921932536327e-09,1.6326435856891035e-09,2.0840076202746453e-09,1.6042575196426715e-09,0.06511432729692877,0.19579017981799113
2620.0,2.1750473096143974e-09,1.9298296584562616e-09,1.8319730064033066e-09,1.946276210701317e-09,1.8507135791172777e-09,0.015384029605752624,0.1669739231530542
2660.0,2.127575126992249e-09,2.0656110526852104e-09,2.007176417403337e-09,2.103512872686937e-09,2.0350264271322916e-09,-0.13120536223409443,0.7538444617733199
2700.0,2.0584573695263643e-09,2.3219880473913933e-09,1.871329114146172e-09,2.306668236680969e-09,1.8506494756594307e-09,-0.07482289089774215,0.4836916768510127
2740.0,2.029498496311344e-09,1.5051538960554976e-09,1.7292158339129413e-09,1.50382641459291e-09,1.7617671954936089e-09,0.41778368971985363,2.2377793371787393
2780.0,1.979156406128934e-09,1.9555117594749144e-09,1.633864068777624e-09,1.975922225627022e-09,1.594367243073379e-09,-0.013064077426750366,0.08624790018972009
2820.0,1.933592279070031e-09,2.2044325668871676e-09,1.545266180813831e-09,2.281205971587106e-09,1.5507832484453892e-09,0.8908956782318573,3.988774940633225
2860.0,1.8804610716355445e-09,2.0828159643371775e-09,1.7403067269828576e-09,2.0879444183504463e-09,1.7796685285053593e-09,-0.052373653617198986,0.2244660705240021
2900.0,1.8380934908315074e-09,1.6962870882991783e-09,1.61083662797667e-09,1.6935717142498924e-09,1.624864789338703e-09,-0.05461274522892087,0.2965937287045656
2940.0,1.8055255220672614e-09,1.884928561615092e-09,1.204006600564947e-09,1.8584184122831817e-09,1.1898148643263225e-09,0.571318736574831,2.905659766450961
2980.0,1.7656743318472122e-09,1.4348971780373599e-09,1.6539973747015645e-09,1.3951534903630956e-09,1.6573340092398018e-09,-0.0405952661927674,0.10847197535377488
3020.0,1.7325934628487106e-09,1.3932849621168378e-09,2.0141006278602976e-09,1.3649763798125069e-09,1.992224688458618e-09,-0.09208602249658997,0.3589039427004943
3060.0,1.6971927954143273e-09,1.6573615682885225e-09,2.438199408966442e-09,1.6340444782788557e-09,2.471289105096971e-09,0.07834076515268538,0.3702969440008408
3100.0,1.6704840882022907e-09,1.4866915283990258e-09,2.0071598964850353e-09,1.4232949661975861e-09,1.9665924047058903e-09,-0.0009136734150200047,0.08445329988094293
3140.0,1.6283559741339834e-09,2.2373605792552673e-09,2.4528335645808665e-09,2.2257752851617996e-09,2.4889113851595703e-09,0.04824715445908906,0.20050480514139676
3180.0,1.5940058390952016e-09,1.2460973498554234e-09,2.878014933983995e-09,1.2138313092643814e-09,2.8765618551557498e-09,-0.04267791741444537,0.5749881222974019
3220.0,1.5794711620182993e-09,2.9635494795317817e-10,1.780800006141048e-09,2.4625329466291377e-10,1.8455433562203327e-09,0.11478893373589472,0.36506250491654035
3260.0,1.5386139592839838e-09,2.160252508751238e-09,2.5999186534191836e-09,2.1532887755553936e-09,2.5672615765106863e-09,-0.04484601713890624,0.28770029812950804
3300.0,1.5098702420836133e-09,1.8971033444509993e-09,1.4127962250414676e-09,1.9047557342510612e-09,1.4160225003933277e-09,-0.09666582700983677,0.700679929895309
3340.0,1.4904867993766864e-09,2.1055171327291586e-09,2.3315487849640186e-09,2.1306783381349836e-09,2.2694933520376035e-09,1.0958967782624682,5.217284505885765
3380.0,1.4592369197434691e-09,8.859812867800679e-10,2.5642560960775836e-09,8.825597451054126e-10,2.5711119396636764e-09,-0.017066558872106483,0.20687448547398937
3420.0,1.4246973504155537e-09,2.536770854535341e-09,3.2601221830644754e-09,2.5324063951159795e-09,3.3063127647171263e-09,-0.004958228293384016,0.14772040518102889
3460.0,1.403236754621499e-09,1.765773237972971e-10,2.4575095873298984e-09,2.665622696023811e-10,2.4978079103226175e-09,-0.45110587061620394,2.62444956312634
3500.0,1.381641432027528e-09,5.271120903548114e-10,3.392934889836826e-09,4.534583875675915e-10,3.4387539535056265e-09,-0.08608330116309464,0.3235689416907379
3540.0,1.3477448030664582e-09,2.0875775938547437e-09,3.5682280933216403e-09,2.1787502876060206e-09,3.5037838051992157e-09,-0.09645213311079255,0.5013257914625169
3580.0,1.3229650445982934e-09,9.539142764566342e-10,3.3903963131326195e-09,1.0213311049628735e-09,3.4422694124261857e-09,-0.10411021160785217,0.33233830480998927
3620.0,1.30619334235931e-09,1.0193784057975106e-09,4.295231057925721e-09,9.66115294830797e-10,4.218374902625519e-09,-0.2370179047448874,0.8059596852480716
3660.0,1.2748475963783889e-09,1.738168324669608e-09,4.20802810961318e-09,1.6576334405416797e-09,4.2271490840632736e-09,0.006631838849974599,0.2566112622459153
3700.0,1.2677703433678635e-09,1.1924784450400082e-09,4.78703037857071e-09,1.0155742982784998e-09,4.773994535832308e-09,0.04954743575782344,0.792619967714826
3740.0,1.2420623398270395e-09,1.8093205211983313e-09,5.020886487896895e-09,1.7463661055955131e-09,5.075901223592888e-09,0.1240954655543024,0.6002449390590665
3780.0,1.2185669959873646e-09,2.418780289504954e-09,5.663074621025662e-09,2.3886214194893207e-09,5.75207505395533e-09,0.6701626541861566,2.6011079874446246
3820.0,1.21178183822473e-09,2.331804888937389e-09,5.14411981228387e-09,2.3895473086149544e-09,5.088160340384926e-09,0.027329200479126153,0.17902632336897115
3860.0,1.1888819009631639e-09,8.936290286294096e-10,7.582939113396064e-09,8.740211001353339e-10,7.48894377439555e-09,0.35641726809679636,1.4604359711612054
3900.0,1.1694792495727508e-09,6.917240976967547e-10,6.377136683983117e-09,6.771381275248264e-10,6.269018167076468e-09,0.024068571836740868,0.5761581393574127
3940.0,1.151900061698624e-09,3.312653646252873e-09,8.993007074239343e-09,3.174191695978745e-09,9.18567742800547e-09,0.009534111161735059,0.18559837862720088
