ell,kap_cl
1904,3.5040086648221755e-09
1905,3.6476989304277985e-09
1906,3.623589783610064e-09
1907,3.3860032619213124e-09
1908,3.614500543834549e-09
1909,3.5918637123953035e-09
1910,3.541944755040386e-09
1911,3.5410234718266557e-09
1912,3.513405405325912e-09
1913,3.650211233363311e-09
1914,3.552991678607062e-09
1915,3.8002512793532195e-09
1916,3.6174174926685015e-09
1917,3.568876812007266e-09
1918,3.5415246895693243e-09
1919,3.6320593142926505e-09
1920,3.5406663225706313e-09
1921,3.679378724487517e-09
1922,3.486979221640789e-09
1923,3.476541891246294e-09
1924,3.712111359505498e-09
1925,3.5779013716129645e-09
1926,3.5453053264177005e-09
1927,3.5737954536824906e-09
1928,3.6068081503860953e-09
1929,3.5864026692289064e-09
1930,3.4986245538994153e-09
1931,3.652499405826559e-09
1932,3.5314678891706736e-09
1933,3.4790620841336216e-09
1934,3.381748773595126e-09
1935,3.5157284046174505e-09
1936,3.458420770476129e-09
1937,3.570368698398466e-09
1938,3.4628050270684177e-09
1939,3.6131188295500543e-09
1940,3.6201871216702936e-09
1941,3.4799705332499786e-09
1942,3.565159456511088e-09
1943,3.4576954240122545e-09
1944,3.500802510381331e-09
1945,3.5731999163596795e-09
1946,3.4428599835351956e-09
1947,3.4546438549641424e-09
1948,3.562273103350008e-09
1949,3.3563838549438955e-09
1950,3.4903991453857475e-09
1951,3.527381532035779e-09
1952,3.3392280127317167e-09
1953,3.43065569505961e-09
1954,3.3955197525126746e-09
1955,3.3201407427186685e-09
1956,3.408900356977064e-09
1957,3.4743058332545856e-09
1958,3.410422722336917e-09
1959,3.491691815916854e-09
1960,3.2803771512617264e-09
1961,3.5393882788663253e-09
1962,3.5173648589812763e-09
1963,3.5943885502601665e-09
1964,3.4754269053869406e-09
1965,3.2732371936440712e-09
1966,3.4658547024495107e-09
1967,3.3055533595120595e-09
1968,3.2958409449401548e-09
1969,3.4258608465215912e-09
1970,3.5120509167095992e-09
1971,3.548988326013287e-09
1972,3.478880112585975e-09
1973,3.506402609970635e-09
1974,3.4371368262911315e-09
1975,3.509201593307812e-09
1976,3.307076666576711e-09
1977,3.453328339445369e-09
1978,3.379350504963189e-09
1979,3.4682379442337163e-09
1980,3.332082111013556e-09
1981,3.5226711387658576e-09
1982,3.1305235236457543e-09
1983,3.4568029533213903e-09
1984,3.3189168766315114e-09
1985,3.420417508686655e-09
1986,3.3708208013074868e-09
1987,3.255513434222225e-09
1988,3.3763669754381425e-09
1989,3.3936842367221633e-09
1990,3.3045249569211153e-09
1991,3.3957529782703757e-09
1992,3.3535948429216014e-09
1993,3.221469305857417e-09
1994,3.4696256218730422e-09
1995,3.3877318784311067e-09
1996,3.339836038610337e-09
1997,3.245024747238981e-09
1998,3.2818978655399966e-09
1999,3.3000152659046033e-09
2000,3.3926744060697825e-09
2001,3.41922537686775e-09
2002,3.4090866833115017e-09
2003,3.241959518499477e-09
2004,3.339906585427836e-09
2005,3.321624724442618e-09
2006,3.3200305202698975e-09
2007,3.412318105922204e-09
2008,3.334733636769782e-09
2009,3.399691044779344e-09
2010,3.3836182640901786e-09
2011,3.2765823989944675e-09
2012,3.205409301170127e-09
2013,3.3328688453353473e-09
2014,3.393516660288461e-09
2015,3.3822416378869216e-09
2016,3.2020609937413467e-09
2017,3.2235015742682913e-09
2018,3.354834549173255e-09
2019,3.2531956133498552e-09
2020,3.246603541979365e-09
2021,3.240917672767423e-09
2022,3.426248491889709e-09
2023,3.22081392955599e-09
2024,3.2332635174499503e-09
2025,3.2829438761612737e-09
2026,3.10401754999357e-09
2027,3.1765780156930617e-09
2028,3.1664084649464815e-09
2029,3.2186987804907944e-09
2030,3.2757546336659074e-09
2031,3.3715844193839133e-09
2032,3.311912777543152e-09
2033,3.3362996715704956e-09
2034,3.129455561908535e-09
2035,3.3370711392425913e-09
2036,3.2824824519599486e-09
2037,3.282179271186266e-09
2038,3.2375404923076853e-09
2039,3.3303795486007033e-09
2040,3.2289583390428987e-09
2041,3.2933887352552876e-09
2042,3.273270885216805e-09
2043,3.231416370893079e-09
2044,3.261156778134144e-09
2045,3.1555726398509717e-09
2046,3.197084080748901e-09
2047,3.127423642717094e-09
2048,3.2537449118861754e-09
2049,3.237237226400789e-09
2050,3.1927681307113605e-09
2051,3.239033130617089e-09
2052,3.1218595773567406e-09
2053,3.230091443110598e-09
2054,3.3021045968697064e-09
2055,3.243150023830656e-09
2056,3.255642430539638e-09
2057,3.2903406022413954e-09
2058,3.1911355159397928e-09
2059,3.2436217310813613e-09
2060,3.231616288130628e-09
2061,3.2296224589977785e-09
2062,3.1402710445199225e-09
2063,3.1561654207331514e-09
2064,3.1798280131949986e-09
2065,3.1627731401913713e-09
2066,3.210647470955655e-09
2067,3.078492118828231e-09
2068,3.3517548709212907e-09
2069,3.1877092628989826e-09
2070,3.0674463653360297e-09
2071,3.187881508511118e-09
2072,3.1343033642515267e-09
2073,3.2014568200833034e-09
2074,3.153662441812699e-09
2075,3.2926252776315417e-09
2076,3.2093696013906274e-09
2077,3.188656837496516e-09
2078,3.0875890444346244e-09
2079,3.2003445748871254e-09
2080,3.1111513532411955e-09
2081,3.120040822433519e-09
2082,2.9154371496444603e-09
2083,3.1273085025428318e-09
2084,3.1266062634519394e-09
2085,2.969664709350575e-09
2086,3.123343630950523e-09
2087,3.1134922290301473e-09
2088,3.1358079300334994e-09
2089,3.1900744067022157e-09
2090,3.076468354332649e-09
2091,3.1197941143683755e-09
2092,3.1014751191351757e-09
2093,3.0361261972129456e-09
2094,3.1295586889894726e-09
2095,3.0948008456116778e-09
